קטגוריה,ינואר,פברואר,מרץ,אפריל,מאי,יוני,יולי,אוגוסט,ספטמבר,אוקטובר,סה"כ

הכנסות
"הכנסות",370732.7999999998,369800.98000000085,384155.67000000016,624832.1199999996,670915.6600000006,666212.6999999994,667847.3199999994,403336.8000000004,647470.0399999984,391150.5099999999,5196454.600000062
"הכנסות",80979.6,1958969.76,320373.24000000005,133802.88,55334.16,179420.4,247403.76,99548.79999999999,0,124465.2,3200297.8000000003
"סה"כ הכנסות",451712.3999999998,2328770.7400000007,704528.9100000001,758634.9999999997,726249.8200000006,845633.0999999994,915251.0799999994,502885.6000000004,647470.0399999984,515615.7099999999,8396752.400000062
